2026-08-30T02:29:59Z 96, 2392, [N/A], 53.13, 73 | 111968 830
2026-08-30T02:30:04Z 96, 2398, [N/A], 35.04, 67 | 111994 830
2026-08-30T02:30:09Z 96, 2398, [N/A], 34.93, 66 | 111978 830
2026-08-30T02:30:14Z 96, 2392, [N/A], 52.47, 68 | 112006 830
2026-08-30T02:30:19Z 96, 2392, [N/A], 52.37, 69 | 111997 830
2026-08-30T02:30:24Z 96, 2392, [N/A], 54.47, 68 | 112008 830
2026-08-30T02:30:29Z 96, 2392, [N/A], 53.69, 68 | 112007 830
2026-08-30T02:30:34Z 96, 2392, [N/A], 57.36, 70 | 112008 830
2026-08-30T02:30:39Z 96, 2392, [N/A], 55.55, 70 | 111979 830
2026-08-30T02:30:44Z 96, 2392, [N/A], 54.46, 70 | 111968 830
2026-08-30T02:30:50Z 96, 2392, [N/A], 53.14, 70 | 111991 830
2026-08-30T02:30:55Z 96, 2392, [N/A], 54.68, 70 | 112008 830
2026-08-30T02:31:00Z 96, 2398, [N/A], 35.22, 67 | 111997 830
2026-08-30T02:31:05Z 96, 2398, [N/A], 35.03, 66 | 112007 830
2026-08-30T02:31:10Z 96, 2398, [N/A], 29.87, 65 | 111981 830
2026-08-30T02:31:15Z 96, 2392, [N/A], 51.61, 67 | 111978 830
2026-08-30T02:31:20Z 96, 2398, [N/A], 28.51, 64 | 111978 830
2026-08-30T02:31:25Z 96, 2392, [N/A], 51.04, 67 | 111965 830
2026-08-30T02:31:30Z 96, 2379, [N/A], 73.12, 71 | 111969 830
2026-08-30T02:31:35Z 96, 2398, [N/A], 28.51, 64 | 111974 830
2026-08-30T02:31:40Z 96, 2398, [N/A], 52.15, 67 | 111948 830
2026-08-30T02:31:45Z 96, 2398, [N/A], 28.53, 64 | 111957 830
2026-08-30T02:31:51Z 96, 2398, [N/A], 28.40, 63 | 111978 830
2026-08-30T02:31:56Z 95, 2392, [N/A], 54.57, 67 | 111981 830
2026-08-30T02:32:01Z 96, 2398, [N/A], 28.47, 63 | 112008 830
2026-08-30T02:32:06Z 96, 2398, [N/A], 51.94, 67 | 111987 830
2026-08-30T02:32:11Z 96, 2398, [N/A], 28.46, 63 | 111981 830
2026-08-30T02:32:16Z 96, 2398, [N/A], 28.91, 63 | 111991 830
2026-08-30T02:32:21Z 96, 2372, [N/A], 64.06, 70 | 111983 830
2026-08-30T02:32:26Z 96, 2398, [N/A], 28.35, 63 | 111993 830
2026-08-30T02:32:31Z 7, 2398, [N/A], 40.12, 66 | 111998 830
2026-08-30T02:32:36Z 96, 2392, [N/A], 53.62, 66 | 112007 830
2026-08-30T02:32:41Z 96, 2392, [N/A], 56.12, 65 | 111999 830
2026-08-30T02:32:46Z 96, 2398, [N/A], 28.89, 63 | 111973 830
2026-08-30T02:32:52Z 96, 2392, [N/A], 52.43, 65 | 111993 830
2026-08-30T02:32:57Z 96, 2392, [N/A], 53.24, 67 | 111962 830
2026-08-30T02:33:02Z 96, 2392, [N/A], 57.61, 70 | 111975 830
2026-08-30T02:33:07Z 96, 2398, [N/A], 29.09, 63 | 112003 830
2026-08-30T02:33:12Z 96, 2392, [N/A], 52.63, 66 | 111991 830
2026-08-30T02:33:17Z 96, 2392, [N/A], 52.85, 67 | 112025 830
2026-08-30T02:33:22Z 96, 2392, [N/A], 56.86, 65 | 111981 830
2026-08-30T02:33:27Z 96, 2398, [N/A], 28.99, 63 | 111999 830
2026-08-30T02:33:32Z 96, 2398, [N/A], 51.32, 67 | 111989 830
2026-08-30T02:33:37Z 96, 2398, [N/A], 50.24, 66 | 112007 830
2026-08-30T02:33:42Z 96, 2385, [N/A], 63.00, 69 | 112012 830
2026-08-30T02:33:47Z 96, 2398, [N/A], 29.13, 63 | 111997 830
2026-08-30T02:33:53Z 96, 2392, [N/A], 48.08, 66 | 111951 830
2026-08-30T02:33:58Z 96, 2392, [N/A], 53.89, 66 | 111954 830
2026-08-30T02:34:03Z 96, 2392, [N/A], 60.93, 70 | 111956 830
2026-08-30T02:34:08Z 96, 2398, [N/A], 28.97, 63 | 111959 830
2026-08-30T02:34:13Z 96, 2398, [N/A], 44.45, 65 | 111971 830
2026-08-30T02:34:18Z 96, 2398, [N/A], 50.42, 66 | 111977 830
