model,test_name,t_s_mean,t_s_std,t_s_req_mean,t_s_req_std,peak_ts_mean,peak_ts_std,peak_ts_req_mean,peak_ts_req_std,ttfr_mean,ttfr_std,est_ppt_mean,est_ppt_std,e2e_ttft_mean,e2e_ttft_std
unsloth/Qwen3.8-27B-NVFP4,ctx_pp @ d8192 (c1),1490.7571903784294,15.386952127445808,1490.7571903784294,15.386952127445808,,,,,5590.888305722426,57.03997798422188,5531.782361057897,57.03997798422188,5590.888305722426,57.03997798422188
unsloth/Qwen3.8-27B-NVFP4,ctx_tg @ d8192 (c1),18.979735372394487,0.4077991915901408,18.979735372394487,0.4077991915901408,25.333333333333332,0.4714045207910317,25.333333333333332,0.4714045207910317,,,,,,
unsloth/Qwen3.8-27B-NVFP4,pp2048 @ d8192 (c1),312.78415760011677,3.790577800848591,312.78415760011677,3.790577800848591,,,,,6607.720805332065,79.93137389320876,6548.614860667537,79.93137389320876,6607.720805332065,79.93137389320876
unsloth/Qwen3.8-27B-NVFP4,tg128 @ d8192 (c1),19.02922815601961,1.5562785739938472,19.02922815601961,1.5562785739938472,28.0,0.816496580927726,28.0,0.816496580927726,,,,,,
unsloth/Qwen3.8-27B-NVFP4,ctx_pp @ d8192 (c2),1411.9685361268469,5.328728088521433,717.4109773216431,13.379749501609997,,,,,11541.445590322837,211.99515734090775,11497.598049153263,211.99515734090775,11541.445590322837,211.99515734090775
unsloth/Qwen3.8-27B-NVFP4,ctx_tg @ d8192 (c2),31.158691759404928,2.7896897956990965,16.780967042181135,1.743755779047459,45.666666666666664,5.436502143433364,24.666666666666668,3.39934634239519,,,,,,
unsloth/Qwen3.8-27B-NVFP4,pp2048 @ d8192 (c2),289.7022708348374,2.088359034602368,147.08113189247894,3.156853680052536,,,,,13974.491354078054,296.1568595812036,13930.64381290848,296.1568595812036,13974.491354078054,296.1568595812036
unsloth/Qwen3.8-27B-NVFP4,tg128 @ d8192 (c2),34.14524985100221,2.3685572553841023,18.00931506944526,1.1226921307058007,45.0,1.632993161855452,24.833333333333332,1.674979270186815,,,,,,
unsloth/Qwen3.8-27B-NVFP4,ctx_pp @ d8192 (c5),1390.0361687885043,1.7362929937771774,298.0913348753546,31.421845804372175,,,,,27949.75174451247,2559.4024180948877,27931.62759160623,2559.4024180948877,27949.75174451247,2559.4024180948877
unsloth/Qwen3.8-27B-NVFP4,ctx_tg @ d8192 (c5),41.1339119838033,0.369319024625608,13.77342373008535,2.7402150551195135,96.0,6.683312551921141,22.733333333333334,2.264705033528404,,,,,,
